CustomerID,CustomerName,Region,SignupDate,Cluster,Recency,Frequency,TotalSpend,AvgSpend,AvgQuantity
C0001,Lawrence Carroll,South America,2022-07-10,11,,,,,
C0002,Elizabeth Lutz,Asia,2022-02-13,1,,,,,
C0003,Michael Rivera,South America,2024-03-07,10,,,,,
C0004,Kathleen Rodriguez,South America,2022-10-09,0,,,,,
C0005,Laura Weber,Asia,2022-08-15,1,,,,,
C0006,Brittany Palmer,South America,2024-01-07,4,,,,,
C0007,Paul Graves,Asia,2022-06-18,10,,,,,
C0008,David Li,North America,2024-01-13,0,,,,,
C0009,Joy Clark,Europe,2023-08-14,11,,,,,
C0010,Aaron Cox,Europe,2022-12-15,3,,,,,
C0011,Bryan Mathews,South America,2022-12-12,4,,,,,
C0012,Kevin May,South America,2024-08-07,9,,,,,
C0013,Lauren Buchanan,South America,2024-05-19,4,,,,,
C0014,Deborah Wilcox,Europe,2024-06-22,2,,,,,
C0015,Tina Duran,North America,2023-11-20,1,,,,,
C0016,Emily Woods,North America,2024-01-03,4,,,,,
C0017,Jennifer King,Europe,2023-12-05,0,,,,,
C0018,Tyler Haynes,North America,2024-09-21,10,,,,,
C0019,Brandon Rodriguez,Europe,2023-01-12,7,,,,,
C0020,Mr. Manuel Conway,North America,2024-06-11,14,,,,,
C0021,Robert Blanchard,Asia,2023-04-17,0,,,,,
C0022,Teresa Esparza,Asia,2023-10-27,4,,,,,
C0023,Nicholas Cain,Europe,2022-03-04,0,,,,,
C0024,Michele Cooley,North America,2024-02-05,7,,,,,
C0025,Gregory Odom,South America,2022-07-04,7,,,,,
C0026,Sara Miller,North America,2024-05-03,10,,,,,
C0027,Justin Heath,Asia,2022-11-09,3,,,,,
C0028,Jennifer Pena,Asia,2024-06-29,0,,,,,
C0029,Erin Manning,North America,2022-04-16,3,,,,,
C0030,Mark Brock,North America,2024-01-30,3,,,,,
C0031,Tina Miller,South America,2024-04-11,1,,,,,
C0032,Dustin Campbell,South America,2024-04-17,11,,,,,
C0033,Tyler Holt,North America,2024-08-04,6,,,,,
C0034,Dalton Perez,North America,2023-09-27,3,,,,,
C0035,Brianna Richardson,North America,2024-10-01,5,,,,,
C0036,Brian Aguilar DDS,North America,2024-07-06,1,,,,,
C0037,Linda Smith,Europe,2023-02-04,8,,,,,
C0038,Jeffrey Perkins,North America,2022-04-16,8,,,,,
C0039,Angela Harris,South America,2024-10-13,9,,,,,
C0040,Michael Harrell,Asia,2022-03-07,4,,,,,
C0041,Lindsey Deleon,Europe,2023-12-27,0,,,,,
C0042,Heather Riley,North America,2023-03-15,3,,,,,
C0043,Sandy Short MD,Asia,2023-02-05,7,,,,,
C0044,Kenneth Alexander,Europe,2024-07-10,4,,,,,
C0045,Michael Williams,Asia,2022-02-25,10,,,,,
C0046,Beth Cardenas,North America,2024-10-23,4,,,,,
C0047,Samantha Frank,North America,2024-03-22,7,,,,,
C0048,Matthew Park,South America,2024-11-07,1,,,,,
C0049,Jason Yates,North America,2024-09-18,11,,,,,
C0050,Ryan Davis,North America,2024-03-02,5,,,,,
C0051,Nicholas Ellis,Europe,2023-12-21,0,,,,,
C0052,Stanley Aguirre,South America,2024-02-20,8,,,,,
C0053,Albert Burke,Europe,2022-06-18,4,,,,,
C0054,Bruce Rhodes,Asia,2024-09-29,0,,,,,
C0055,Lauren Williams,North America,2024-11-11,1,,,,,
C0056,Erika Fernandez,Asia,2024-04-12,3,,,,,
C0057,Elizabeth Nguyen,Europe,2024-07-27,8,,,,,
C0058,Zachary Turner,North America,2024-01-28,6,,,,,
C0059,Mrs. Kimberly Wright,North America,2024-04-07,0,,,,,
C0060,James Murphy,Europe,2022-04-22,13,,,,,
C0061,Brandon Escobar,Europe,2023-03-06,8,,,,,
C0062,Jeffery Hartman,Europe,2022-12-14,3,,,,,
C0063,Wayne Ferguson,Europe,2024-02-05,8,,,,,
C0064,Martha Montgomery,Europe,2023-10-22,8,,,,,
C0065,Gerald Hines,North America,2024-07-10,0,,,,,
C0066,Catherine White,Europe,2024-11-15,10,,,,,
C0067,Carl Gonzalez,North America,2023-07-06,11,,,,,
C0068,Mark Cox,North America,2023-04-04,0,,,,,
C0069,Stacy Foster,Europe,2023-12-03,11,,,,,
C0070,Timothy Perez,Europe,2022-03-15,8,,,,,
C0071,Taylor Murphy,South America,2022-07-01,1,,,,,
C0072,Sarah Scott,North America,2024-07-24,10,,,,,
C0073,Heidi Johnson,Europe,2022-08-20,8,,,,,
C0074,Jonathan Russo,Europe,2022-05-27,4,,,,,
C0075,Misty Higgins,Europe,2023-05-01,0,,,,,
C0076,Emily Roberts,South America,2024-02-11,1,,,,,
C0077,Scott Sims,South America,2023-10-18,3,,,,,
C0078,Julia Palmer,Asia,2024-11-13,5,,,,,
C0079,Brian Murillo,North America,2022-02-02,9,,,,,
C0080,David Gonzalez,Asia,2024-02-07,12,,,,,
C0081,Kimberly Turner,Europe,2024-02-24,4,,,,,
C0082,Aimee Taylor,South America,2022-05-13,0,,,,,
C0083,Christina Stark,South America,2022-04-07,3,,,,,
C0084,Belinda Garner,Asia,2024-09-17,11,,,,,
C0085,Richard Brown,South America,2024-09-22,10,,,,,
C0086,Stephanie Peterson,Europe,2022-09-18,1,,,,,
C0087,Travis Campbell,South America,2024-04-11,0,,,,,
C0088,Carlos Murray,Asia,2023-05-14,11,,,,,
C0089,Paul Carter,Europe,2024-04-02,9,,,,,
C0090,Charles Hamilton,Asia,2023-10-17,0,,,,,
C0091,Lisa Kirk,South America,2023-03-16,10,,,,,
C0092,Jacqueline Zamora,Asia,2024-05-29,4,,,,,
C0093,Nancy Walker,Asia,2024-07-13,0,,,,,
C0094,Emily Trevino,North America,2023-09-16,11,,,,,
C0095,William Walker,South America,2023-03-04,9,,,,,
C0096,Benjamin Mcclure,South America,2022-11-18,10,,,,,
C0097,Tina Ford,Asia,2023-12-18,2,,,,,
C0098,Laura Gilbert,North America,2024-10-21,11,,,,,
C0099,Rodney Eaton,South America,2023-01-29,0,,,,,
C0100,Clinton Gomez,Europe,2023-03-16,9,,,,,
C0101,Kelsey Roberts,Asia,2023-09-30,0,,,,,
C0102,Michael Atkinson,South America,2022-09-16,0,,,,,
C0103,Jennifer Munoz,Europe,2022-05-15,7,,,,,
C0104,Laura Bennett,South America,2022-02-10,0,,,,,
C0105,Ryan Hampton,Europe,2024-11-11,10,,,,,
C0106,Amanda Mcguire,Asia,2022-09-22,1,,,,,
C0107,Dana Cantrell,South America,2023-02-07,3,,,,,
C0108,David Davis,South America,2022-09-28,0,,,,,
C0109,Abigail Jones,North America,2022-05-09,0,,,,,
C0110,Elizabeth Wells,Asia,2024-09-21,12,,,,,
C0111,Roger David,Europe,2024-11-13,3,,,,,
C0112,Brian Adkins,South America,2022-07-07,10,,,,,
C0113,Joseph Ortiz Jr.,South America,2022-06-17,0,,,,,
C0114,Benjamin Anderson,Europe,2024-11-18,10,,,,,
C0115,Joshua Hamilton,Asia,2024-11-11,5,,,,,
C0116,James Martinez,North America,2024-09-11,11,,,,,
C0117,Jeffrey Mcmahon,North America,2024-11-22,4,,,,,
C0118,Jacob Holt,South America,2022-01-22,8,,,,,
C0119,David Armstrong,Europe,2023-11-13,7,,,,,
C0120,Francisco Diaz,South America,2023-01-13,10,,,,,
C0121,Mark Atkinson,Europe,2023-07-23,7,,,,,
C0122,Corey Ruiz,North America,2022-05-06,0,,,,,
C0123,Jason Johnston,Asia,2023-11-05,9,,,,,
C0124,Lindsay Perez,Europe,2024-08-26,1,,,,,
C0125,Nicholas Taylor,North America,2022-12-18,5,,,,,
C0126,Caitlin Brown,South America,2024-02-20,8,,,,,
C0127,Kathryn Stevens,Europe,2024-04-04,11,,,,,
C0128,Henry Leach,Asia,2023-05-29,2,,,,,
C0129,Marcus Livingston,South America,2024-04-14,1,,,,,
C0130,Robert Jones,South America,2023-04-19,5,,,,,
C0131,Scott Wilson,North America,2022-06-05,8,,,,,
C0132,Lisa Jackson,Europe,2023-02-01,3,,,,,
C0133,Gwendolyn Carter,South America,2023-03-11,1,,,,,
C0134,Theresa Gonzalez,Asia,2022-02-19,1,,,,,
C0135,Toni Weaver,Europe,2022-08-23,4,,,,,
C0136,Kristen Holder,Asia,2024-03-14,1,,,,,
C0137,Robert Gardner,South America,2024-04-09,8,,,,,
C0138,Cynthia Clayton,Asia,2024-11-01,9,,,,,
C0139,Ricky Gutierrez,North America,2022-03-14,7,,,,,
C0140,Gregory Estrada,Asia,2023-07-01,10,,,,,
C0141,Paul Parsons,Europe,2023-02-23,0,,,,,
C0142,Nicole Long DVM,Asia,2024-02-08,3,,,,,
C0143,Brian Parker,Asia,2024-05-27,9,,,,,
C0144,Andrea Hart,North America,2024-09-30,12,,,,,
C0145,Wayne Stone,Asia,2023-01-13,0,,,,,
C0146,Brittany Harvey,Asia,2024-09-04,5,,,,,
C0147,Hunter Fuller,South America,2022-05-16,7,,,,,
C0148,Matthew Rogers,South America,2023-04-16,10,,,,,
C0149,Tina Wilson,Europe,2023-01-21,4,,,,,
C0150,Angela Williams,South America,2022-09-13,6,,,,,
C0151,Amber Gonzalez,South America,2024-11-22,13,,,,,
C0152,Justin Evans,South America,2022-04-19,9,,,,,
C0153,Justin Smith,South America,2022-03-20,8,,,,,
C0154,Robert Sharp,North America,2024-10-27,7,,,,,
C0155,Michelle Brown,South America,2023-03-23,0,,,,,
C0156,William Adams,North America,2023-08-19,0,,,,,
C0157,Miguel Wong,North America,2024-01-30,11,,,,,
C0158,Wendy Browning,South America,2023-04-12,9,,,,,
C0159,Austin Miller,Asia,2022-08-06,1,,,,,
C0160,Jodi Cook,North America,2022-04-05,8,,,,,
C0161,Jessica Warren,Asia,2022-03-14,7,,,,,
C0162,Edwin Watson,Asia,2022-03-29,0,,,,,
C0163,Tiffany Cain,South America,2023-06-08,10,,,,,
C0164,Morgan Perez,Europe,2023-06-01,9,,,,,
C0165,Juan Mcdaniel,South America,2022-04-09,0,,,,,
C0166,John Rogers,Europe,2022-02-13,1,,,,,
C0167,Brandy Welch,Europe,2024-01-27,8,,,,,
C0168,Karen Clements MD,South America,2022-12-13,10,,,,,
C0169,Jennifer Shaw,South America,2023-04-13,4,,,,,
C0170,Logan Harris,Europe,2023-09-13,9,,,,,
C0171,Michael Cowan,South America,2022-12-16,8,,,,,
C0172,Jamie Webb,Europe,2024-09-09,7,,,,,
C0173,Francisco Young,Asia,2022-10-06,0,,,,,
C0174,Tracy Steele,South America,2022-11-03,8,,,,,
C0175,Matthew Johnson,Asia,2022-04-16,0,,,,,
C0176,Nicole Booth,North America,2022-03-23,3,,,,,
C0177,Julia Kelly,Asia,2024-06-01,5,,,,,
C0178,Carol Williams,Asia,2023-11-19,9,,,,,
C0179,Donald Miller,Europe,2022-10-16,8,,,,,
C0181,Alexander Barker,South America,2023-11-16,11,,,,,
C0182,Joshua Preston,Europe,2024-12-28,9,,,,,
C0183,Kimberly Johnson,North America,2024-01-23,5,,,,,
C0184,Tina Jacobs,South America,2022-05-13,11,,,,,
C0185,Kathleen Logan,North America,2023-10-17,5,,,,,
C0186,Amber Alexander,Asia,2023-10-11,11,,,,,
C0187,Kayla Kelly,South America,2024-08-02,8,,,,,
C0188,Anna Ball,South America,2022-05-17,0,,,,,
C0189,Sherri Dixon,North America,2024-01-22,7,,,,,
C0190,Alexander Lowe,South America,2024-05-31,4,,,,,
C0191,Samantha Gibson DVM,South America,2024-04-07,8,,,,,
C0192,Sarah Arias,South America,2022-09-15,11,,,,,
C0193,Douglas Torres,Asia,2023-02-03,8,,,,,
C0194,Stacy Cook,North America,2024-05-04,11,,,,,
C0195,Jeremy Mclaughlin,South America,2024-09-17,1,,,,,
C0196,Laura Watts,Europe,2022-06-07,9,,,,,
